	chr1p	chr1q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr2p	chr2q	chr20p	chr20q	chr21p	chr21q	chr22q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chrXp	chrXq	chrYp	chrYq	class
S4	5.0904488852	12.0728144491	-1.4602924711	3.2066384364	-8.8774621896	-5.4599515038	-2.9521933795	0.0745072186	-3.4144369847	-3.4258968641	-4.992221498	0.507704913	-6.908833723	-3.6755369477	1.5725868542	-4.5832976725	2.856405231	-6.7333458024	-0.3642880707	-5.8763149951	-12.7048398476	4.9002313088	10.1639178451	-5.273338378	-3.831066295	-2.2438502968	-1.7508537268	0.8401481998	-16.3183927819	-5.8167780337	18.792999421	-10.2585665643	-6.0973796959	-8.1087938559	8.5886853404	15.9276465076	-9.8297300092	33.0145786936	-1.5664859325	-5.0157164167	9.0559822549	1.4894644189	-6.9775873229	-6.7692402335	SKBr3
S5	5.2643961145	2.2822036599	-1.2685829559	-0.9491308188	1.8083785154	0.0909999388	-3.3850077455	-1.9473657474	-8.4472395545	0.8115659453	-4.2721498162	0.3865635887	-5.3944322597	-2.9243706532	0.1338460295	-1.7727545942	-7.191460404	-9.3135060138	0.2313868278	-0.2939979192	-9.7485698747	5.2483945636	4.910435751	-5.7957408028	0.1371636058	-1.9788939043	-3.3268007526	-0.365902699	-13.2665069789	-8.3268722353	27.1524148438	-9.3078715527	-0.0258822743	-6.8388994955	10.8480080397	15.7185686283	-10.3826340787	34.2559797402	-6.7499642628	-5.2036320846	8.0855938619	0.1185933452	-6.3129364778	-6.9425832706	SKBr3
S6	5.6694538822	1.8502886184	-4.542495069	-2.7585727348	-0.7713995906	-1.9651591877	-2.5279795876	-2.1704778912	-10.6710875769	4.6078532598	-2.2096765499	1.2429499608	-4.1181239712	-3.3005104853	3.186017331	-1.7555361553	-6.2157750564	-6.5070412927	0.8175664165	9.1557223958	-6.3248415764	4.8797504785	8.4229948444	-4.3814026482	-1.6794805286	-0.8999626299	-3.2952448182	-2.0467473967	-15.3934281524	-8.6196547067	19.0338772792	-7.4163090342	-0.6577292499	-5.5469576639	11.9157260948	16.217138967	-10.2673368404	27.1648127305	-7.9513657656	-5.5409091196	10.2635256754	0.4759888143	-7.0169728165	-6.8686131872	SKBr3
S7	6.2832864955	3.7798987526	-6.1947859122	-4.9291876297	-1.5127427618	-1.5893727488	-2.6740479763	-0.9827859317	-7.3945383102	-4.0605665843	-2.5100493697	3.6322495085	-3.9577838643	-2.4173861547	0.738690831	0.0224185559	-4.4850300174	-8.9849906972	-2.1617939012	-0.612873094	-7.6271797483	0.6671324029	7.7967969769	-3.5794923775	-0.5718069196	-1.7470776225	-3.2744483803	-2.3592228067	-15.4517032068	-8.5273070016	22.9061870695	-6.5107278221	1.937960299	-7.3097516908	17.7429771769	21.9111216256	-13.403955583	26.5862880123	-7.4169878571	-5.4037285686	11.0155843138	1.5081041123	-6.1272994312	-6.8595840437	SKBr3
S8	2.3644107277	7.4564276474	-3.0574249227	-3.606587914	-1.3674016308	-0.4167474912	-3.2542871246	-2.5612230035	-6.0200463503	0.3202851917	-2.5844925663	0.3314137468	-4.571999914	-2.8513933845	3.1787367254	-1.1239889084	-5.215445318	-8.8446870405	-0.1491780064	-1.5766505442	-8.6495109708	4.8594085893	8.9301362566	-4.7060194941	-1.3170085329	-1.2735875849	-1.7201521402	-0.4742115259	-14.8663827962	-6.869942387	14.1414485225	-9.931877829	0.8509029223	-6.2189296983	7.8833926611	14.7520815309	-9.9549987577	35.8339103401	-8.5454835634	-5.7754323536	8.5299634121	0.3401294353	-7.0539335298	-6.851750134	SKBr3
S9	5.5730466325	3.4456412743	-1.0604474102	-1.9722243131	-1.0036573519	-0.7584402874	-3.8295326544	-2.950997977	-7.1807157854	2.790477959	-4.3556372082	1.5104277002	-5.1174948943	-2.0339085184	4.579994883	-2.5915241703	-6.9338885096	-7.5385458663	1.0372348101	-0.5859434771	-7.9466287119	6.7440246747	8.4247104932	-5.786850863	-2.641728579	-1.1708808122	-4.4526230943	-0.7771362969	-15.9697972755	-7.6052678369	16.4420621643	-7.590503025	1.0584352165	-8.253477564	14.2879691842	20.8404357979	-11.0958092666	30.1741769238	-7.948245288	-5.2332020415	8.0663875254	0.2520257508	-7.341041277	-6.9171577786	SKBr3
S10	-4.8216964507	-3.9384853098	-5.1886370147	-3.0260001206	14.7028534657	5.8608471004	1.3492928872	-5.674963019	8.6703914813	-13.1356130012	6.9572409549	-2.3792455253	1.2912880836	-4.6157519785	-0.0028971214	-0.4551520565	-16.6499138866	-5.0331061622	-0.4416255436	4.1051864786	3.3621782157	-2.33244493	2.3027553373	-5.4219842846	-7.3114875061	-4.0413574058	-14.6994741473	2.5879190834	-3.3435571581	-6.0299217506	3.5947876771	-2.9831749846	1.8466653106	-2.506409197	-0.3711815324	4.4386161848	-13.552012209	12.4353122441	4.4736456485	2.1699419125	7.5900988202	6.8913211165	-5.9160583859	-6.5264413888	SKBr3
S11	0.274642987	-1.7838138308	-3.8654434856	2.687612025	3.7276685676	-2.2783373656	-0.7538307674	-1.7554913363	-0.2859141683	-7.0721807988	6.7522505321	-6.6090899379	6.2639887404	-3.9778000144	1.4758153251	3.4791294979	-10.7681524275	-2.5016283297	4.558188674	3.5590710259	5.0950800973	-3.0424588818	-1.2893746502	-2.5806747573	-8.4241526769	-3.882428616	-6.6790940811	11.1307753057	-4.69465644	-7.4366780301	-1.0873244324	-6.4955305256	-3.2715024575	-1.8234708246	0.0295806358	2.0461131954	-5.485272427	18.9640693453	-6.2420353929	-0.0267461311	3.2265736196	3.0443491958	-2.6462675298	-5.105207556	SKBr3
S12	0.7272569881	-5.0610035775	2.042777244	6.1670427717	6.6375779888	5.7209834361	1.3080744383	-3.6578542417	-5.9681864012	-13.7767110399	0.9531900133	-7.8054847726	-7.6466472865	-4.0982478588	0.487480633	1.2537986347	-17.0659158176	-5.8576883209	9.8557035226	-6.2596241055	5.3575345944	-1.213185545	-3.5290275653	-6.5013376894	-13.3484743466	-3.5589822372	-15.2923343241	2.0036562155	-4.3680451573	-3.1574259786	-0.0886592489	-0.2676521705	4.5147172467	1.3719013672	-0.1793779381	-0.0985907729	-12.2232788466	31.809922399	-3.486316845	-1.699794231	4.7769213768	5.20256944	-4.8126237465	-6.8775833759	SKBr3
S13	-12.3236462844	-11.8251323684	-7.5591768134	-5.659584243	8.5186877213	7.7390020888	3.0030166747	6.2763384146	6.6451797034	-11.1666880017	7.3088396785	-11.5671042061	-11.119998568	-6.3265517213	7.9493156993	0.8304992254	-14.6179620601	-6.4533020053	5.5450614068	-9.476848602	-4.3471206047	-4.6379853597	2.7487676686	-6.7008044002	-7.5737140653	-0.6065967135	-12.9374537241	9.706990618	-6.6527168651	-5.6019059719	9.5582436517	1.5607010619	-3.9937222351	-18.9767734447	4.5795983047	0.5856658889	-4.2368265596	35.5510769482	3.935918621	1.020867195	5.9565586166	7.9122470915	-1.8576896367	-6.7355474881	SKBr3
